libpve-network-api-perl	1.6.7
libpve-network-perl	1.6.7
libpve-notify-perl	9.1.6
libpve-rs-perl	0.15.3
libpve-storage-perl	9.1.10
libpython3.13-minimal:amd64	3.13.5-2+deb13u4
libpython3.13-stdlib:amd64	3.13.5-2+deb13u4
libpython3-stdlib:amd64	3.13.5-1
libqb100:amd64	2.0.8-2+b1
libqb-tools	2.0.8-2+b1
libqrencode4:amd64	4.1.1-2
libqt5core5t64:amd64	5.15.15+dfsg-6+deb13u1
libqt5dbus5t64:amd64	5.15.15+dfsg-6+deb13u1
libqt5network5t64:amd64	5.15.15+dfsg-6+deb13u1
libquorum5:amd64	3.1.10-pve3
librabbitmq4:amd64	0.15.0-1+deb13u2
librados2	19.2.3-pve4
librados2-perl	1.5.1
libradosstriper1	19.2.3-pve4
librbd1	19.2.3-pve4
librdkafka1:amd64	2.8.0-1
librdmacm1t64:amd64	56.1-1
libreadline8t64:amd64	8.2-6
libreiserfscore0t64	1:3.6.27-9
librgw2	19.2.3-pve4
librrd8t64:amd64	1.7.2-4.2+pve4
librrds-perl:amd64	1.7.2-4.2+pve4
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsensors5:amd64	1:3.6.2-2
libsensors-config	1:3.6.2-2
libsepol2:amd64	3.8.1-1
libsframe1:amd64	2.44-3
libslang2:amd64	2.3.3-5+b2
libslirp0:amd64	4.8.0-1+deb13u1
libsmartcols1:amd64	2.41.5-0+deb13u1
libsmbclient0:amd64	2:4.22.10+dfsg-0+deb13u2
libsnappy1v5:amd64	1.2.2-1
libsndfile1:amd64	1.2.2-2+deb13u1
libsndio7.0:amd64	1.10.0-0.1
libsnmp40t64:amd64	5.9.4+dfsg-2+deb13u1
libsnmp-base	5.9.4+dfsg-2+deb13u1
libsocket6-perl	0.29-3+b4
libspice-server1:amd64	0.15.2-1+b1
libsqlite3-0:amd64	3.46.1-7+deb13u1
libss2:amd64	1.47.2-3+b11
libssh2-1t64:amd64	1.11.1-1+deb13u1
libssl3t64:amd64	3.5.7-1~deb13u2
libstatgrab10t64	0.92.1-1.2
libstdc++6:amd64	14.2.0-19
libstring-shellquote-perl	1.04-3
libsubid5:amd64	1:4.17.4-2
libsystemd0:amd64	257.13-1~deb13u1
libsystemd-shared:amd64	257.13-1~deb13u1
libtalloc2:amd64	2:2.4.3+samba4.22.10+dfsg-0+deb13u2
libtasn1-6:amd64	4.20.0-2+deb13u1
libtcmalloc-minimal4t64:amd64	2.16-1
libtdb1:amd64	2:1.4.13+samba4.22.10+dfsg-0+deb13u2
libtemplate-perl	2.27-1+b8
libterm-readline-gnu-perl	1.46-1+b3
libtevent0t64:amd64	2:0.16.2+samba4.22.10+dfsg-0+deb13u2
libtext-charwidth-perl:amd64	0.04-11+b4
libtext-iconv-perl:amd64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai0:amd64	0.1.29-2+b1
libthai-data	0.1.29-2
